Electrical components,,,,,,
Reference,Value,Qty,DNP,DigiKey_Part_Number,LCSC_Part_Number,Comment
"C1,C2",10uF 16V,2,,UZG1C100MCL1GB,Lelon VSS100M1CTR-0404,
"C3,C4,C5,C6",10nF,4,,CC0402KRX7R9BB103,YAGEO CC0402KRX7R9BB103,
C7,10uF 16V,1,DNP,UZG1C100MCL1GB,Lelon VSS100M1CTR-0404,Populate R8 and C7 to increase gain
C8,0.1uF,1,,CC0402KRX5R9BB104,YAGEO CC0402KRX5R9BB104,
"C9,C10",22uF 25v,2,,UZG1E220MCL1GB,Nichicon UZG1E220MCL1GB,
"C11,C12,C13,C14,C15",22uF 16V,5,,EMK325BJ226MD-T,Taiyo Yuden EMK325BJ226MD-T,
"D1,D4",1N4148,2,,1N4148X-TP,MCC 1N4148X-TP,
D2,24V,1,,BZT585B24T-7,Diodes Incorporated BZT585B24T-7,Zener diode
D3,5.6V,1,,BZT52C5V6T-7,Diodes Incorporated BZT52C5V6T-7,Zener diode
J2,"Mini XLR Male, panel mount",1,,TB3M,Switchcraft TB3M (not normally stocked),Significantly cheaper no-name alternatives available on Amazon/AliExpress
MK1,AOM-5024L-HD-F-R,1,,AOM-5024L-HD-F-R,"PUI Audio, Inc. AOM-5024L-HD-F-R (not normally stocked)",
R1,4.7k,1,,RC0402FR-074K7L,YAGEO RC0402FR-074K7L,
R8,4k7,1,DNP,RC0402FR-074K7L,YAGEO RC0402FR-074K7L,Populate R8 and C7 to increase gain
R2,1.87k,1,,RC0402FR-131K87L,YAGEO RC0402FR-131K87L,
R3,909R,1,,RC0402FR-07909RL,YAGEO RC0402FR-07909RL,
R4,3.83k,1,,RC0402FR-073K83L,YAGEO RC0402FR-073K83L,
R5,1.33k,1,,RC0402FR-131K33L,YAGEO RC0402FR-131K33L,
R6,5.62k,1,,RC0402FR-075K62L,YAGEO RC0402FR-075K62L,
R7,100k,1,,RC0402FR-07100KL,YAGEO RC0402FR-07100KL,
"R9,R15",0,2,,RC0402JR-070RL,YAGEO RC0402JR-070RL,
R14,0,1,DNP,RC0402JR-070RL,YAGEO RC0402JR-070RL,"When not using correction filtering, R14 can be populated for true balanced output (see OpenRefMic project repository for alternate configurations)"
"R10,R13",10k,2,,RC0402FR-0710KL,YAGEO RC0402FR-0710KL,
R11,10.5k,1,,RC0402FR-0710K5L,YAGEO RC0402FR-0710K5L,
"R18,R19,R20,R21",7.15k,4,,RC0402FR-077K15L,YAGEO RC0402FR-077K15L,
R12,34.8k,1,,RC0402FR-0734K8L,YAGEO RC0402FR-0734K8L,
"R16,R17",100R,2,,RC0402FR-07100RL,YAGEO RC0402FR-07100RL,
"R22,R23",33k,2,,RC0402FR-0733KL,YAGEO RC0402FR-0733KL,
S1,CL-SB-12B-01T,1,,CL-SB-12B-01T,Nidec CL-SB-12B-01T,"Switch, single pole double throw"
U1,OPA1664,1,,OPA1664AIDR,TI OPA1664AID,Can substitute with other quad opamp with SOIC-14 package and <~4mA total quiescent current
--,1x2 2.54mm RA female header,1,,PPPC021LGBN-RC,CJT(Changjiang Connectors) A2541HWR-2P,Install in MK1 pads on PCB
--,1x2 2.54mm RA male header,1,,10129379-902002BLF,XFCN PZ254R-11-02P,"Plug into female header, align mic capsule, and solder male pins to mic capsule (see assembly instructions)"
,,,,,,
,,,,,,
Mechanical components,Part,Qty,,McMaster_Part_Number,,Comment
,M3x8 screw,1,,91290A113,,
,M3 nut,1,,98676A100,,
,10.5x1.0mm O-ring,1,,9262K612,,"Fit into groove on interior surface of grille, seals around outside of mic capsule"
,,,,,,
,,,,,,
3D Printed components,Part,Qty,,,,
,Mic body,1,,,,
,Grille,1,,,,
,Top spacer,1,,,,
,Bottom spaker,1,,,,
,,,,,,
,,,,,,
Mini XLR adapter cable,Part,Qty,,DigiKey_Part_Number,LCSC_Part_Number,Comment
,"Mini XLR Female, cable mount",1,,TA3FLX,Switchcraft TA3FLX (not normally stocked),replace full size female connector on standard XLR cable to build a mini XLR adapter cable. Significantly cheaper no-name alternatives available on Amazon/AliExpress
