OpenRefMic correction curve,
Hz,dB
10,-1.21266E-05
10.2932,-1.28481E-05
10.595,-1.36126E-05
10.9057,-1.44227E-05
11.2254,-1.5281E-05
11.5546,-1.61904E-05
11.8934,-1.71538E-05
12.2421,-1.81744E-05
12.601,-1.92559E-05
12.9705,-2.04017E-05
13.3508,-2.16156E-05
13.7423,-2.29019E-05
14.1452,-2.42648E-05
14.5599,-2.57084E-05
14.9868,-2.72384E-05
15.4263,-2.88594E-05
15.8786,-3.05765E-05
16.3442,-3.23959E-05
16.8234,-3.43238E-05
17.3167,-3.63662E-05
17.8244,-3.85302E-05
18.347,-4.08227E-05
18.885,-4.32518E-05
19.4387,-4.58257E-05
20.0086,-4.85525E-05
20.5953,-5.1442E-05
21.1992,-5.4503E-05
21.8208,-5.7746E-05
22.4606,-6.11824E-05
23.1191,-6.48229E-05
23.797,-6.86806E-05
24.4947,-7.27674E-05
25.2129,-7.70976E-05
25.9522,-8.16851E-05
26.7131,-8.65457E-05
27.4964,-9.16961E-05
28.3026,-9.71525E-05
29.1325,-0.000102933
29.9866,-0.000109059
30.8659,-0.000115548
31.7709,-0.000122425
32.7024,-0.000129709
33.6613,-0.000137428
34.6483,-0.000145606
35.6642,-0.000154271
36.7099,-0.000163451
37.7862,-0.000173177
38.8942,-0.000183483
40.0346,-0.000194401
41.2084,-0.00020597
42.4167,-0.000218227
43.6604,-0.000231213
44.9405,-0.000244973
46.2582,-0.00025955
47.6145,-0.000274997
49.0106,-0.000291361
50.4477,-0.0003087
51.9268,-0.000327071
53.4494,-0.000346534
55.0165,-0.000367158
56.6297,-0.000389006
58.2901,-0.000412157
59.9992,-0.000436686
61.7584,-0.000462674
63.5692,-0.000490209
65.4331,-0.000519382
67.3517,-0.000550293
69.3265,-0.000583043
71.3592,-0.000617742
73.4515,-0.000654508
75.6051,-0.000693461
77.8219,-0.000734734
80.1037,-0.000778463
82.4524,-0.000824796
84.87,-0.000873887
87.3584,-0.0009259
89.9199,-0.000981011
92.5564,-0.001039402
95.2702,-0.001101269
98.0636,-0.001166821
100.9389,-0.001236277
103.8985,-0.001309866
106.9449,-0.001387839
110.0806,-0.001470455
113.3082,-0.001557992
116.6305,-0.001650741
120.0502,-0.001749015
123.5702,-0.001853141
127.1933,-0.00196347
130.9228,-0.002080374
134.7615,-0.002204239
138.7128,-0.002335484
142.78,-0.002474553
146.9664,-0.002621903
151.2756,-0.002778038
155.7111,-0.002943478
160.2766,-0.003118776
164.9761,-0.003304527
169.8133,-0.003501347
174.7924,-0.003709906
179.9174,-0.003930896
185.1927,-0.004165069
190.6227,-0.004413208
196.2119,-0.004676151
201.965,-0.004954781
207.8868,-0.005250034
213.9822,-0.005562909
220.2563,-0.005894461
226.7144,-0.006245806
233.3618,-0.00661813
240.2041,-0.007012688
247.2471,-0.007430823
254.4966,-0.007873939
261.9586,-0.008343537
269.6394,-0.008841211
277.5455,-0.009368648
285.6833,-0.009927629
294.0598,-0.010520065
302.6818,-0.011147955
311.5567,-0.011813442
320.6918,-0.01251879
330.0947,-0.013266401
339.7733,-0.014058829
349.7357,-0.014898783
359.9902,-0.015789135
