OpenRefMic correction curve,
Hz,dB
10,0
10.2932245,0
10.59504705,0
10.90571978,0
11.2255022,0
11.55466142,0
11.8934724,0
12.24221814,0
12.60118997,0
12.97068773,0
13.35102006,0
13.74250467,0
14.14546857,0
14.56024836,0
14.98719051,0
15.42665165,0
15.87899886,0
16.34461001,0
16.82387401,0
17.3171912,0
17.82497367,0
18.34764556,0
18.88564347,0
19.4394168,0
20.00942812,0
20.59615356,0
21.20008324,0
21.82172161,0
22.46158794,0
23.12021672,0
23.79815811,0
24.4959784,0
25.21426049,0
25.95360437,0
26.71462762,0
27.49796594,0
28.30427366,0
29.1342243,0
29.98851112,0
30.86784773,0
31.77296863,0
32.7046299,0
33.66360976,0
34.65070926,0
35.66675294,0
36.7125895,0
37.78909255,0
38.89716131,0
40.03772136,0
41.21172543,0
42.42015417,0
43.664017,0
44.94435293,0
46.26223145,0
47.6187534,0
49.01505189,0
50.45229328,0
51.9316781,0
53.45444211,0
55.0218573,0
56.63523293,0
58.29591669,0
60.00529577,0
61.76479802,0
63.5758932,0
65.44009412,0
67.35895798,0
69.33408762,0
71.36713291,0
73.45979206,0
75.61381311,0
77.83099533,0
80.11319076,0
82.46230575,0
84.88030255,0
87.36920094,0
89.93107993,0
92.56807948,0
95.28240232,0
98.07631576,0
100.9521536,0
103.912318,0
106.9592817,0
110.0955899,0
113.3238622,0
116.6467955,0
120.0671652,0
123.5878286,0
127.2117265,0
130.9418859,0
134.7814228,0
138.7335442,0
142.8015516,0
146.9888429,0
151.2989158,0
155.7353706,0
160.3019132,0
165.0023579,0
169.8406313,0
174.8207746,0
179.9469479,0
185.2234332,0
190.654638,0
196.245099,0
201.999486,0
207.9226058,0
214.0194059,0
220.2949791,0
226.7545675,0
233.4035669,0
240.2475312,0
247.2921773,0
254.5433897,0
262.0072254,0
269.6899191,0
277.5978881,0
285.7377382,0
294.1162686,0
302.740478,0
311.6175704,0
320.7549609,0
330.1602821,0
339.8413903,0
349.8063723,0
360.063552,0
370.6214973,0
381.4890275,0
392.6752203,0
404.1894196,0
416.0412434,0
428.2405918,0
440.797655,0
453.722922,0
467.0271894,0
480.7215706,0
494.8175046,0
509.326766,-0.000370448
524.2614743,-0.002029491
539.634105,-0.004516199
555.4574988,-0.007284852
571.7448733,-0.010057433
588.5098335,-0.012623689
605.7663834,-0.014915023
623.5289376,-0.016971903
641.8123334,-0.018647065
660.6318432,-0.020225632
680.003187,-0.021312161
699.9425462,-0.022063139
720.4665762,-0.02246961
741.592421,-0.02294776
763.3377273,-0.024045047
785.7206593,-0.026213114
808.7599137,-0.030059103
832.4747355,-0.035535069
856.8849339,-0.042623357
882.0108992,-0.050733999
907.8736192,-0.059398833
934.4946976,-0.06802302
961.8963713,-0.076120369
990.1015291,-0.083288752
1019.133731,-0.089278942
1049.017229,-0.094355417
1079.776983,-0.098995185
1111.438689,-0.103691328
1144.028794,-0.108809093
1177.574521,-0.114603173
1212.10389,-0.1211874
1247.645746,-0.128354119
1284.229775,-0.136674363
1321.886538,-0.147091287
1360.647489,-0.160669029
1400.545006,-0.176859508
1441.612417,-0.19496556
1483.884024,-0.214587768
1527.395139,-0.236108373
1572.182105,-0.259210921
1618.282336,-0.284072665
1665.734338,-0.311010827
1714.577749,-0.340959884
1764.853369,-0.37463076
1816.603192,-0.41345191
1869.870448,-0.458936186
1924.69963,-0.512144217
1981.136538,-0.573342867
2039.228314,-0.642637259
2099.023483,-0.718458446
2160.571993,-0.798389467
2223.925257,-0.879470519
2289.136193,-0.959640447
2356.259273,-1.037836244
2425.350567,-1.113707801
2496.467786,-1.188853207
2569.670337,-1.265522571
2645.019366,-1.347253153
2722.577813,-1.437376604
2802.410463,-1.538946561
2884.584003,-1.652468647
2969.167072,-1.775556703
3056.230323,-1.901081634
3145.846483,-2.021423874
3238.090407,-2.129863005
3333.03915,-2.226587643
3430.772022,-2.316081424
3531.370662,-2.406957279
3634.9191,-2.50637325
3741.503832,-2.619092821
3851.213889,-2.743574356
3964.140914,-2.873953998
4080.379236,-2.999242879
4200.02595,-3.108299781
4323.180999,-3.192411552
4449.947256,-3.249216272
4580.43061,-3.283302628
4714.740055,-3.302051334
4852.987783,-3.310375294
4995.289272,-3.305620466
5141.76339,-3.276582151
5292.532487,-3.207093529
5447.722504,-3.082919428
5607.463072,-2.902915527
5771.887625,-2.685110069
5941.133509,-2.45781727
6115.342097,-2.234358137
6294.658907,-1.994442879
6479.233725,-1.701257107
6669.220729,-1.349445231
6864.778617,-0.981649362
7066.070742,-0.637194908
7273.265245,-0.298180949
7486.535198,0.080354197
7706.058748,0.495396333
7932.019267,0.905795902
8164.605502,1.294354939
8404.011735,1.680293333
8650.437945,2.058899065
8904.089975,2.404245806
9165.179704,2.714400581
9433.925223,3.019543711
9710.55102,3.340166619
9995.288162,3.66665892
10288.37449,3.973977859
10590.05484,4.241635211
10900.58119,4.453010824
11220.21293,4.616907783
11549.21705,4.772570056
11887.86839,4.946669103
12236.44981,5.137216473
12595.25249,5.319122636
12964.57615,5.473219436
13344.72928,5.528578372
13736.02943,5.560857815
14138.80346,5.488655697
14553.38781,5.579218248
14980.12879,5.647686948
15419.38286,5.810546473
15871.51694,5.809738441
16336.90869,5.663142718
16815.94687,5.551480181
17309.03162,5.353534255
17816.57483,5.45682298
18339.00045,5.366855352
18876.74486,5.590052791
19430.25726,5.682960092
20000,5.72608505
