"OpenRefMic v2 average frequency response, normalized to 1kHz",
Hz,dB
10,-0.989527417
10.2932,-0.842810054
10.595,-0.70700336
10.9057,-0.583453085
11.2255,-0.470818153
11.5547,-0.370118348
11.8935,-0.2790559
12.2422,-0.196458633
12.6012,-0.120848742
12.9707,-0.051084636
13.351,0.013589415
13.7425,0.073435518
14.1455,0.127056867
14.5602,0.174724333
14.9872,0.217169667
15.4267,0.254463449
15.879,0.287532828
16.3446,0.317390532
16.8239,0.343793774
17.3172,0.36625988
17.825,0.384925711
18.3476,0.399158258
18.8856,0.409048874
19.4394,0.414281435
20.0094,0.415456636
20.5962,0.413130586
21.2001,0.408597549
21.8217,0.40277305
22.4616,0.39638303
23.1202,0.389718812
23.7982,0.383286718
24.496,0.376782847
25.2143,0.369853038
25.9536,0.362951001
26.7146,0.355856015
27.498,0.348451761
28.3043,0.340558781
29.1342,0.33177238
29.9885,0.322239906
30.8678,0.311659173
31.773,0.299967151
32.7046,0.287736376
33.6636,0.274952808
34.6507,0.261283542
35.6668,0.24697987
36.7126,0.232481126
37.7891,0.217703132
38.8972,0.20285125
40.0377,0.188224734
41.2117,0.174170195
42.4202,0.160979728
43.664,0.149056154
44.9444,0.138494384
46.2622,0.129189231
47.6188,0.121220588
49.0151,0.114539701
50.4523,0.108175268
51.9317,0.101519956
53.4544,0.094234747
55.0219,0.086363056
56.6352,0.078016985
58.2959,0.069610235
60.0053,0.061209863
61.7648,0.05256141
63.5759,0.043591358
65.4401,0.034820807
67.359,0.026278853
69.3341,0.017881147
71.3671,0.009795051
73.4598,0.002399746
75.6138,-0.004455256
77.831,-0.011325425
80.1132,-0.018700569
82.4623,-0.027070547
84.8803,-0.037193109
87.3692,-0.049472067
89.9311,-0.063913693
92.5681,-0.079932977
95.2824,-0.097069928
98.0763,-0.114846624
100.9522,-0.132584037
103.9123,-0.149687423
106.9593,-0.165630102
110.0956,-0.180328204
113.3239,-0.193143849
116.6468,-0.204183206
120.0672,-0.213250793
123.5878,-0.221009495
127.2117,-0.227011031
130.9419,-0.231857264
134.7814,-0.235323869
138.7335,-0.237649703
142.8016,-0.238948924
146.9888,-0.239328311
151.2989,-0.23867065
155.7354,-0.237374098
160.3019,-0.235399947
165.0024,-0.232576189
169.8406,-0.22900394
174.8208,-0.224806733
179.9469,-0.219773297
185.2234,-0.214515254
190.6546,-0.209129194
196.2451,-0.203267059
201.9995,-0.197376805
207.9226,-0.191684994
214.0194,-0.185796466
220.295,-0.179536875
226.7546,-0.173166012
233.4036,-0.166730628
240.2475,-0.160549487
247.2922,-0.153004064
254.5434,-0.145663569
262.0072,-0.137555055
269.6899,-0.130430802
277.5979,-0.124080582
285.7377,-0.119062747
294.1163,-0.11496374
302.7405,-0.112014554
311.6176,-0.108610122
320.755,-0.104412483
330.1603,-0.100679363
339.8414,-0.096638083
349.8064,-0.092731644
360.0636,-0.089561256
370.6215,-0.085423251
381.489,-0.082477477
392.6752,-0.078841595
404.1894,-0.076949865
416.0412,-0.075486502
428.2406,-0.075204873
440.7977,-0.076546466
453.7229,-0.079530513
467.0272,-0.082245322
480.7216,-0.084376708
494.8175,-0.085031615
509.3268,-0.084661166
524.2615,-0.083002124
539.6341,-0.080515416
555.4575,-0.077746763
571.7449,-0.074974182
588.5098,-0.072407925
605.7664,-0.070116592
623.5289,-0.068059712
641.8123,-0.06638455
660.6318,-0.064805983
680.0032,-0.063719453
699.9425,-0.062968476
720.4666,-0.062562004
741.5924,-0.062083855
763.3377,-0.060986567
785.7207,-0.0588185
808.7599,-0.054972511
832.4747,-0.049496546
856.8849,-0.042408258
882.0109,-0.034297616
907.8736,-0.025632782
934.4947,-0.017008595
961.8964,-0.008911245
990.1015,-0.001742862
1019.1337,0.004247327
1049.0172,0.009323803
1079.777,0.013963571
1111.4387,0.018659713
1144.0288,0.023777479
1177.5745,0.029571559
1212.1039,0.036155786
1247.6457,0.043322504
1284.2298,0.051642748
1321.8865,0.062059672
1360.6475,0.075637414
1400.545,0.091827894
1441.6124,0.109933945
1483.884,0.129556154
1527.3951,0.151076758
1572.1821,0.174179307
1618.2823,0.19904105
1665.7343,0.225979212
1714.5777,0.25592827
1764.8534,0.289599145
1816.6032,0.328420295
1869.8704,0.373904571
1924.6996,0.427112602
1981.1365,0.488311253
2039.2283,0.557605644
2099.0235,0.633426831
2160.572,0.713357853
2223.9253,0.794438904
2289.1362,0.874608832
2356.2593,0.952804629
2425.3506,1.028676186
2496.4678,1.103821592
2569.6703,1.180490957
2645.0194,1.262221539
2722.5778,1.352344989
2802.4105,1.453914946
2884.584,1.567437032
2969.1671,1.690525089
3056.2303,1.81605002
3145.8465,1.936392259
3238.0904,2.04483139
3333.0392,2.141556028
3430.772,2.23104981
3531.3707,2.321925664
3634.9191,2.421341635
3741.5038,2.534061207
3851.2139,2.658542741
3964.1409,2.788922383
4080.3792,2.914211265
4200.026,3.023268166
4323.181,3.107379937
4449.9473,3.164184657
4580.4306,3.198271014
4714.7401,3.21701972
4852.9878,3.225343679
4995.2893,3.220588852
5141.7634,3.191550536
5292.5325,3.122061915
5447.7225,2.997887814
5607.4631,2.817883913
5771.8876,2.600078454
5941.1335,2.372785656
6115.3421,2.149326522
6294.6589,1.909411264
6479.2337,1.616225493
6669.2207,1.264413617
6864.7786,0.896617747
7066.0707,0.552163294
7273.2652,0.213149335
7486.5352,-0.165385812
7706.0587,-0.580427948
7932.0193,-0.990827516
8164.6055,-1.379386554
8404.0117,-1.765324948
8650.4379,-2.14393068
8904.09,-2.48927742
9165.1797,-2.799432195
9433.9252,-3.104575325
9710.551,-3.425198234
9995.2882,-3.751690534
10288.3745,-4.059009473
10590.0548,-4.326666825
10900.5812,-4.538042438
11220.2129,-4.701939398
11549.2171,-4.85760167
11887.8684,-5.031700717
12236.4498,-5.222248088
12595.2525,-5.404154251
12964.5761,-5.558251051
13344.7293,-5.613609987
13736.0294,-5.64588943
14138.8035,-5.573687312
14553.3878,-5.664249863
14980.1288,-5.732718563
15419.3829,-5.895578088
15871.5169,-5.894770056
16336.9087,-5.748174333
16815.9469,-5.636511796
17309.0316,-5.438565869
17816.5748,-5.541854594
18339.0004,-5.451886966
18876.7449,-5.675084406
19430.2573,-5.767991707
20000,-5.811116664
