Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
10,58.0144,26.9816
10.2932,58.203,27.1582
10.595,58.3983,27.3339
10.9057,58.6015,27.508
11.2254,58.8119,27.6806
11.5546,59.03,27.8514
11.8934,59.2562,28.0199
12.2421,59.4903,28.1861
12.601,59.7324,28.3496
12.9705,59.9827,28.5103
13.3508,60.2415,28.6676
13.7423,60.5089,28.8213
14.1452,60.7849,28.971
14.5599,61.0698,29.1164
14.9868,61.3635,29.2571
15.4263,61.666,29.3929
15.8786,61.9775,29.5232
16.3442,62.2985,29.6474
16.8234,62.6285,29.7653
17.3167,62.9679,29.8762
17.8244,63.3165,29.9798
18.347,63.6747,30.0752
18.885,64.0422,30.1621
19.4387,64.419,30.2398
20.0086,64.8054,30.3075
20.5953,65.2012,30.3644
21.1992,65.6065,30.4099
21.8208,66.0211,30.4429
22.4606,66.445,30.4628
23.1191,66.8779,30.4685
23.797,67.32,30.4588
24.4947,67.7707,30.4327
25.2129,68.2304,30.3888
25.9522,68.6983,30.326
26.7131,69.1744,30.2427
27.4964,69.6584,30.1373
28.3026,70.15,30.0082
29.1325,70.6487,29.8534
29.9866,71.1539,29.671
30.8659,71.6655,29.4585
31.7709,72.1827,29.2138
32.7024,72.7051,28.9339
33.6613,73.2318,28.6161
34.6483,73.7624,28.2571
35.6642,74.2959,27.8533
36.7099,74.8317,27.4009
37.7862,75.3688,26.8954
38.8942,75.9063,26.3323
40.0346,76.4432,25.7063
41.2084,76.9786,25.0121
42.4167,77.5112,24.2437
43.6604,78.0399,23.3951
44.9405,78.5634,22.4606
46.2582,79.0804,21.4354
47.6145,79.5896,20.3172
49.0106,80.0893,19.1076
50.4477,80.5781,17.8173
51.9268,81.0543,16.4694
53.4494,81.5163,15.1083
55.0165,81.9621,13.8
56.6297,82.3901,12.6255
58.2901,82.7983,11.6531
59.9992,83.1848,10.9025
61.7584,83.5478,10.3397
63.5692,83.8855,9.9042
65.4331,84.1964,9.5554
67.3517,84.4791,9.2995
69.3265,84.733,9.1872
71.3592,84.9578,9.2767
73.4515,85.1546,9.5814
75.6051,85.3258,10.0398
77.8219,85.4754,10.5422
80.1037,85.61,10.9752
82.4524,85.7387,11.2476
84.87,85.8731,11.2927
87.3584,86.0273,11.0591
89.9199,86.2159,10.5011
92.5564,86.4522,9.5685
95.2702,86.7456,8.1957
98.0636,87.0987,6.2872
100.9389,87.5069,3.686
103.8985,87.9586,0.099253
106.9449,88.4378,-5.0989
110.0806,88.9274,-12.4251
113.3082,89.4114,-11.0146
116.6305,89.8777,-6.656
120.0502,90.3184,-4.2597
123.5702,90.7309,-2.8679
127.1933,91.1172,-2.106
130.9228,91.4831,-1.9455
134.7615,91.837,-2.5088
138.7128,92.1877,-3.9349
142.78,92.542,-5.9827
146.9664,92.9037,-6.6326
151.2756,93.2717,-4.3666
155.7111,93.6415,-1.7593
160.2766,94.0057,0.0015143
164.9761,94.3564,0.88781
169.8133,94.6865,1.011
174.7924,94.9899,0.43998
179.9174,95.2619,-0.83774
185.1927,95.4975,-2.9649
190.6227,95.6914,-6.3042
196.2119,95.8365,-11.1516
201.965,95.9248,-10.304
207.8868,95.9477,-3.7384
213.9822,95.8982,1.2599
220.2563,95.7723,4.7259
226.7144,95.5733,6.7499
233.3618,95.3135,7.2368
240.2041,95.0167,5.928
247.2471,94.7158,2.498
254.4966,94.4468,-1.092
261.9586,94.2395,-0.32038
269.6394,94.1096,-1.3765
277.5455,94.0531,-7.2244
285.6833,94.0437,-1.2251
294.0598,94.0378,3.1549
302.6818,93.9913,3.377
311.5567,93.8864,-0.18105
320.6918,93.7487,-5.6053
330.0947,93.6341,-0.42836
339.7733,93.5812,2.3495
349.7357,93.5751,2.6878
359.9902,93.57,2.1918
370.5454,93.5412,0.47187
381.4101,93.5049,-5.5147
392.5933,93.5073,-17.5154
404.1045,93.6075,-6.7644
415.9531,93.8354,-8.288
428.1492,94.1454,-22.5036
440.7028,94.4571,-7.1807
453.6246,94.7191,-1.3315
466.9252,94.8926,-3.149
480.6158,94.9421,-23.4687
494.7078,94.8992,-7.0267
509.213,94.8461,-14.7221
524.1435,94.7716,-9.472
539.5118,94.5812,-7.8804
555.3307,94.3144,-6.5481
571.6134,94.1324,-1.2195
588.3736,94.0397,-3.8742
605.6251,93.8931,-9.9209
623.3825,93.616,-5.3528
641.6606,93.3687,-6.2618
660.4746,93.3738,-2.8653
679.8402,93.3581,-9.2873
699.7736,93.0375,-1.7282
720.2915,92.639,-5.8672
741.411,92.3852,-6.6612
763.1497,92.2039,3.8959
785.5259,91.842,2.754
808.5581,92.0642,-11.5738
832.2656,93.1485,0.016522
856.6683,94.0305,-20.017
881.7864,94.2288,3.6809
907.6411,93.9432,-2.7779
934.2538,93.4156,-9.2443
