Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
10,57.867,20.6344
10.2932,58.0584,20.8723
10.595,58.2566,21.1093
10.9057,58.4629,21.345
11.2254,58.6767,21.5796
11.5546,58.8983,21.8128
11.8934,59.1282,22.0444
12.2421,59.3662,22.2743
12.601,59.6123,22.5024
12.9705,59.8668,22.7285
13.3508,60.1299,22.9522
13.7423,60.4016,23.1735
14.1452,60.682,23.392
14.5599,60.9712,23.6074
14.9868,61.2692,23.8196
15.4263,61.576,24.0281
15.8786,61.8917,24.2328
16.3442,62.2167,24.4329
16.8234,62.5505,24.6284
17.3167,62.8936,24.8186
17.8244,63.2455,25.0032
18.347,63.6069,25.1814
18.885,63.9772,25.3529
19.4387,64.3565,25.517
20.0086,64.745,25.6729
20.5953,65.1427,25.82
21.1992,65.5494,25.9573
21.8208,65.9652,26.0841
22.4606,66.3898,26.1994
23.1191,66.8231,26.3023
23.797,67.2653,26.3914
24.4947,67.7159,26.4659
25.2129,68.1751,26.5239
25.9522,68.6424,26.5645
26.7131,69.1178,26.586
27.4964,69.6009,26.5865
28.3026,70.0915,26.5642
29.1325,70.5894,26.5171
29.9866,71.0939,26.443
30.8659,71.605,26.3391
31.7709,72.122,26.2032
32.7024,72.6446,26.0318
33.6613,73.1721,25.8217
34.6483,73.704,25.5694
35.6642,74.2396,25.2705
36.7099,74.7783,24.9204
37.7862,75.3194,24.5141
38.8942,75.8621,24.0459
40.0346,76.4056,23.5093
41.2084,76.9489,22.8974
42.4167,77.4913,22.2028
43.6604,78.0316,21.4179
44.9405,78.569,20.5359
46.2582,79.1023,19.5521
47.6145,79.6305,18.4685
49.0106,80.1525,17.2997
50.4477,80.6671,16.0867
51.9268,81.1731,14.9115
53.4494,81.6694,13.9089
55.0165,82.1547,13.2308
56.6297,82.628,12.9587
58.2901,83.0881,13.0333
59.9992,83.5339,13.2965
61.7584,83.9646,13.5893
63.5692,84.3795,13.7992
65.4331,84.7779,13.8594
67.3517,85.1599,13.7299
69.3265,85.5256,13.3839
71.3592,85.8759,12.7968
73.4515,86.2122,11.9394
75.6051,86.5368,10.7724
77.8219,86.8526,9.2376
80.1037,87.1635,7.2474
82.4524,87.4741,4.6772
84.87,87.7895,1.435
87.3584,88.1148,-1.8362
89.9199,88.4545,-2.199
92.5564,88.812,0.18997
95.2702,89.1891,2.4738
98.0636,89.5849,4.0942
100.9389,89.9966,5.1475
103.8985,90.4191,5.7446
106.9449,90.846,5.9479
110.0806,91.2702,5.7762
113.3082,91.6851,5.2093
116.6305,92.0851,4.1826
120.0502,92.4668,2.5661
123.5702,92.8288,0.099821
127.1933,93.1724,-3.8162
130.9228,93.5009,-10.8769
134.7615,93.8189,-13.0656
138.7128,94.1317,-5.7843
142.78,94.4436,-2.1343
146.9664,94.7569,-0.15736
151.2756,95.0712,0.89354
155.7111,95.3833,1.3718
160.2766,95.6879,1.4967
164.9761,95.9788,1.3907
169.8133,96.2496,1.0488
174.7924,96.4941,0.33934
179.9174,96.7068,-0.91035
185.1927,96.8816,-2.6795
190.6227,97.0119,-4.1421
196.2119,97.0901,-3.734
201.965,97.1087,-1.5915
207.8868,97.0617,1.4839
213.9822,96.947,4.8899
220.2563,96.7683,7.7766
226.7144,96.5363,9.5571
233.3618,96.2681,9.8693
240.2041,95.9854,8.2409
247.2471,95.7109,3.4574
254.4966,95.4679,-9.2477
261.9586,95.2812,-1.2257
269.6394,95.1757,1.2242
277.5455,95.1638,-0.57145
285.6833,95.2268,-0.71656
294.0598,95.3116,0.96491
302.6818,95.3588,-0.3042
311.5567,95.3437,-6.1226
320.6918,95.295,-12.7951
330.0947,95.2672,-6.7183
339.7733,95.2795,-4.7171
349.7357,95.2908,-4.6403
359.9902,95.2478,-6.7269
370.5454,95.1497,-9.6216
381.4101,95.0607,-6.0544
392.5933,95.0633,-2.3291
404.1045,95.1997,-2.0092
415.9531,95.4474,-4.9201
428.1492,95.728,-0.57458
440.7028,95.9419,2.6636
453.6246,96.0245,0.61572
466.9252,95.9793,-13.4145
480.6158,95.8616,-4.4525
494.7078,95.7465,-0.40652
509.213,95.6772,-3.2358
524.1435,95.602,-14.3223
539.5118,95.447,-0.92974
555.3307,95.2481,-1.4502
571.6134,95.1059,-8.2973
588.3736,95.0357,-6.7098
605.6251,94.9258,-3.0215
623.3825,94.7097,-14.0192
641.6606,94.5514,2.093
660.4746,94.6375,5.0437
679.8402,94.7074,-2.3509
699.7736,94.4522,-0.59472
720.2915,94.0579,-5.6649
741.411,93.838,1.9616
763.1497,93.7053,-8.5812
785.5259,93.5046,-2.546
808.5581,93.897,3.5319
832.2656,94.8877,6.2316
856.6683,95.5085,-7.2571
881.7864,95.4188,0.33054
907.6411,94.9325,-1.8144
934.2538,94.3735,5.5809
961.6468,94.0345,-7.4055
989.843,94.042,-1.268
1018.866,94.146,5.424
1048.7399,93.9976,-13.44
1079.4898,93.7697,5.4339
1111.1412,93.7609,1.7535
1143.7207,93.9732,-1.1054
1177.2555,94.2044,-5.0102
1211.7735,94.2255,-1.3452
1247.3036,94.0424,-6.5938
1283.8755,93.9111,7.4454
1321.5197,93.8784,1.8123
1360.2677,93.8967,0.71823
1400.1518,94.0105,-1.4847
1441.2053,94.4259,3.048
1483.4625,95.0732,-1.4742
1526.9588,95.0093,2.1619
1571.7304,94.9793,6.8551
1617.8147,95.4644,1.6657
1665.2502,96.0432,0.64676
1714.0766,95.5948,5.0714
1764.3347,95.9351,-1.3888
1816.0663,95.4958,-2.4615
1869.3148,95.5687,2.5792
1924.1245,95.7428,2.4775
1980.5413,95.9985,2.4546
2038.6122,96.3573,-3.1127
2098.3859,96.6701,4.3789
2159.9122,96.5932,5.0327
2223.2424,96.279,0.72843
2288.4296,96.1507,3.5185
2355.5281,95.9796,-0.11409
2424.594,96.2465,-0.10569
2495.6849,96.336,6.4916
2568.8603,96.6455,-2.983
2644.1812,97.0185,4.8974
2721.7106,96.3693,8.2017
2801.5132,96.0816,-2.355
2883.6557,96.1045,3.2109
2968.2067,96.19,9.6831
3055.2368,96.4484,2.3118
3144.8186,96.0973,6.4277
3237.0271,96.2928,0.83382
3331.9392,96.6524,-2.1439
3429.6342,96.595,0.45402
3530.1937,96.6696,8.4294
3633.7016,96.6038,2.5434
3740.2445,96.3525,3.8833
3849.9113,96.6096,-5.3566
3962.7936,95.919,3.1066
4078.9858,95.8896,7.9644
4198.5847,95.6453,4.18
4321.6904,94.8245,2.0072
4448.4057,93.4881,8.4152
4578.8363,92.2915,-3.0496
4713.0912,93.174,7.9523
4851.2827,93.3308,2.6998
4993.5259,93.6996,9.9113
5139.9399,93.2765,6.1079
5290.6469,93.8268,4.2855
5445.7726,93.8879,5.3242
5605.4468,94.1351,1.7991
5769.8028,94.8104,6.3832
5938.9778,95.3401,1.5029
6113.1131,96.0387,9.2639
6292.3542,95.4644,2.468
6476.8508,94.4649,3.7091
6666.757,94.0466,2.6047
6862.2314,93.6073,-2.291
7063.4372,94.4574,1.8784
7270.5426,94.6849,8.7546
7483.7204,95.048,1.3843
7703.1488,94.9574,1.6155
7929.0109,94.6776,9.4776
8161.4956,94.24,2.9178
8400.7968,95.4548,5.7714
8647.1146,94.9442,6.6165
8900.6545,95.173,5.749
9161.6285,95.1423,5.3451
9430.2544,95.2211,10.8982
9706.7566,95.0672,2.5922
9991.3661,95.31,7.5316
10284.3205,94.4899,3.1483
