Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
10,58.3521,26.2336
10.2932,58.5926,26.2947
10.595,58.8368,26.3562
10.9057,59.0853,26.4175
11.2254,59.3374,26.4786
11.5546,59.593,26.5392
11.8934,59.8522,26.5989
12.2421,60.1146,26.6576
12.601,60.3799,26.715
12.9705,60.648,26.7708
13.3508,60.9189,26.8245
13.7423,61.1922,26.8757
14.1452,61.4678,26.9242
14.5599,61.7455,26.9694
14.9868,62.0252,27.011
15.4263,62.3067,27.0485
15.8786,62.59,27.0815
16.3442,62.875,27.1092
16.8234,63.1617,27.1315
17.3167,63.4502,27.1474
17.8244,63.7405,27.1568
18.347,64.033,27.1587
18.885,64.3279,27.1529
19.4387,64.6256,27.1386
20.0086,64.9268,27.1154
20.5953,65.232,27.0826
21.1992,65.5424,27.0398
21.8208,65.8587,26.9867
22.4606,66.1824,26.9228
23.1191,66.5146,26.8482
23.797,66.8573,26.7625
24.4947,67.2118,26.6664
25.2129,67.5805,26.5601
25.9522,67.9647,26.4446
26.7131,68.3665,26.3215
27.4964,68.7877,26.1926
28.3026,69.2298,26.0606
29.1325,69.6939,25.929
29.9866,70.1805,25.8018
30.8659,70.6905,25.6841
31.7709,71.2225,25.5813
32.7024,71.7763,25.4994
33.6613,72.3499,25.4439
34.6483,72.9409,25.4197
35.6642,73.5468,25.4305
36.7099,74.1645,25.4778
37.7862,74.7906,25.5605
38.8942,75.4216,25.6752
40.0346,76.0538,25.8158
41.2084,76.6837,25.9742
42.4167,77.308,26.1411
43.6604,77.9233,26.306
44.9405,78.5265,26.4586
46.2582,79.1149,26.5883
47.6145,79.6859,26.6851
49.0106,80.2373,26.7393
50.4477,80.7674,26.7416
51.9268,81.2746,26.6833
53.4494,81.7581,26.5553
55.0165,82.2174,26.3491
56.6297,82.6528,26.0555
58.2901,83.0652,25.6649
59.9992,83.4562,25.1675
61.7584,83.8282,24.5521
63.5692,84.1846,23.8067
65.4331,84.5291,22.9178
67.3517,84.8662,21.87
69.3265,85.2002,20.6456
71.3592,85.5353,19.2247
73.4515,85.8748,17.5862
75.6051,86.2211,15.7144
77.8219,86.5748,13.6266
80.1037,86.9353,11.4639
82.4524,87.3012,9.685
84.87,87.6705,9.0376
87.3584,88.0419,9.6385
89.9199,88.4151,10.736
92.5564,88.7918,11.7064
95.2702,89.1754,12.2779
98.0636,89.5705,12.3282
