Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
10,58.0024,20.4467
10.2932,58.1997,20.31
10.595,58.4038,20.1646
10.9057,58.6161,20.0094
11.2254,58.8357,19.8441
11.5546,59.0632,19.6677
11.8934,59.299,19.4793
12.2421,59.5427,19.2783
12.601,59.7946,19.0635
12.9705,60.0549,18.834
13.3508,60.3237,18.5886
13.7423,60.601,18.326
14.1452,60.8872,18.0448
14.5599,61.1821,17.7437
14.9868,61.4858,17.4209
15.4263,61.7984,17.0748
15.8786,62.1197,16.7035
16.3442,62.4506,16.305
16.8234,62.7903,15.8772
17.3167,63.1393,15.418
17.8244,63.4973,14.9252
18.347,63.8648,14.3971
18.885,64.2413,13.8321
19.4387,64.627,13.2294
20.0086,65.0219,12.5904
20.5953,65.4261,11.9188
21.1992,65.8394,11.223
21.8208,66.2619,10.5177
22.4606,66.6932,9.8271
23.1191,67.1333,9.1862
23.797,67.5823,8.6459
24.4947,68.0395,8.2544
25.2129,68.5054,8.0596
25.9522,68.9792,8.0739
26.7131,69.4607,8.2805
27.4964,69.9498,8.6346
28.3026,70.446,9.0802
29.1325,70.9488,9.5652
29.9866,71.4578,10.0495
30.8659,71.9726,10.5039
31.7709,72.4925,10.9095
32.7024,73.017,11.2528
33.6613,73.5454,11.5255
34.6483,74.0769,11.7213
35.6642,74.6107,11.8352
36.7099,75.1462,11.862
37.7862,75.6823,11.7978
38.8942,76.2182,11.6382
40.0346,76.7527,11.3797
41.2084,77.285,11.0205
42.4167,77.8139,10.5641
43.6604,78.3382,10.024
44.9405,78.8568,9.4342
46.2582,79.3682,8.8627
47.6145,79.8714,8.4257
49.0106,80.3647,8.2704
50.4477,80.8468,8.5126
51.9268,81.3162,9.1488
53.4494,81.7714,10.0624
55.0165,82.2107,11.1014
56.6297,82.6325,12.1474
58.2901,83.0351,13.1284
59.9992,83.417,14.0066
61.7584,83.7766,14.7636
63.5692,84.1123,15.3908
65.4331,84.423,15.8833
67.3517,84.7076,16.2369
69.3265,84.9658,16.4463
71.3592,85.1975,16.5037
73.4515,85.4041,16.3975
75.6051,85.5877,16.1126
77.8219,85.7524,15.6268
80.1037,85.904,14.9094
82.4524,86.0506,13.9171
84.87,86.2024,12.5852
87.3584,86.3711,10.8119
89.9199,86.5691,8.4211
92.5564,86.8078,5.0569
95.2702,87.0951,-0.227
98.0636,87.4341,-12.6551
100.9389,87.8213,-8.1015
103.8985,88.2481,-1.2029
106.9449,88.7015,1.4199
110.0806,89.1669,2.3476
113.3082,89.6305,2.1901
116.6305,90.081,1.2266
120.0502,90.5107,-0.15726
123.5702,90.9165,-1.1025
127.1933,91.299,-0.81683
130.9228,91.6628,0.15759
134.7615,92.0145,0.93081
138.7128,92.3618,1.1703
142.78,92.711,0.88943
146.9664,93.0656,0.25546
151.2756,93.425,-0.49735
155.7111,93.785,-1.1891
160.2766,94.1389,-1.786
164.9761,94.4788,-2.3372
169.8133,94.7974,-2.9257
174.7924,95.0887,-3.8056
