Frequency_Response,FrequencyResponse,Noise Floor
Hz,dBSPL,dBSPL
10,57.7194,14.8915
10.2932,57.904,15.2828
10.595,58.0981,15.6739
10.9057,58.3038,16.0657
11.2254,58.52,16.4572
11.5546,58.7476,16.8483
11.8934,58.9873,17.2391
12.2421,59.2387,17.6288
12.601,59.5021,18.0173
12.9705,59.7778,18.4043
13.3508,60.0658,18.7895
13.7423,60.3664,19.1725
14.1452,60.6795,19.5529
14.5599,61.005,19.9305
14.9868,61.3427,20.3047
15.4263,61.6924,20.6752
15.8786,62.0537,21.0414
16.3442,62.4273,21.4031
16.8234,62.8117,21.7596
17.3167,63.2073,22.1105
17.8244,63.6132,22.4553
18.347,64.0296,22.7932
18.885,64.4553,23.1238
19.4387,64.8902,23.4465
20.0086,65.3337,23.7604
20.5953,65.7854,24.0649
21.1992,66.2448,24.3591
21.8208,66.7112,24.6422
22.4606,67.184,24.9134
23.1191,67.6625,25.1718
23.797,68.1466,25.416
24.4947,68.6353,25.6453
25.2129,69.1286,25.858
25.9522,69.6255,26.0533
26.7131,70.1257,26.2294
27.4964,70.6287,26.385
28.3026,71.1341,26.5181
29.1325,71.6414,26.627
29.9866,72.1501,26.7099
30.8659,72.6601,26.7639
31.7709,73.1708,26.7872
32.7024,73.6821,26.7764
33.6613,74.1934,26.7288
34.6483,74.7047,26.6408
35.6642,75.2155,26.5085
36.7099,75.7258,26.3272
37.7862,76.2351,26.092
38.8942,76.7433,25.7968
40.0346,77.2501,25.4349
41.2084,77.7553,24.9979
42.4167,78.2584,24.476
43.6604,78.7592,23.8574
44.9405,79.2572,23.1274
46.2582,79.752,22.2672
47.6145,80.2428,21.2526
49.0106,80.7291,20.0509
50.4477,81.21,18.6167
51.9268,81.6845,16.8827
53.4494,82.1518,14.7446
55.0165,82.6106,12.0268
56.6297,83.0597,8.4211
58.2901,83.4981,3.5643
59.9992,83.9244,0.22027
61.7584,84.3375,3.5222
63.5692,84.7363,6.7592
65.4331,85.1203,8.7346
67.3517,85.4888,9.8202
69.3265,85.8421,10.2437
71.3592,86.1807,10.1139
73.4515,86.5061,9.4772
75.6051,86.8205,8.3682
77.8219,87.127,6.8914
80.1037,87.4298,5.4374
82.4524,87.7335,4.8471
84.87,88.0436,5.5592
87.3584,88.3652,6.8563
89.9199,88.7029,7.9926
92.5564,89.0597,8.6826
95.2702,89.4369,8.8513
98.0636,89.8333,8.4727
100.9389,90.2451,7.5129
103.8985,90.6668,5.919
106.9449,91.0914,3.6535
110.0806,91.5116,0.92898
113.3082,91.9207,-1.0048
116.6305,92.3134,-0.57713
120.0502,92.6863,0.92121
123.5702,93.0383,2.0985
127.1933,93.3712,2.7091
130.9228,93.6884,2.8253
134.7615,93.9952,2.5295
138.7128,94.2968,1.8404
142.78,94.5977,0.69266
146.9664,94.9004,-1.0565
